Image,Distance Away,Abs. Object Width,Abs. Object Height,Picture GPS Latitude,Picture GPS Longitude,ObjectGPS Latitude,Object GPS Longitude
4.12.2020-4.33.1.jpg,12 feet,48 inches,n/a,30.412581,-91.179129,30.412569,-91.179117
4.12.2020-4.33.2.jpg,12 feet,147 inches (post to post),n/a,30.412581,-91.178973,30.412614,-91.17687
4.12.2020-4.33.3.jpg,28 feet,81 inches,n/a,30.410201,-91.176848,30.410196,-91.17687
4.12.2020-4.33.5.jpg,260 inches,13 inches ,20 inches,30.409964,-91.177055,30.409969,-91.177044
4.12.2020-4.33.7.jpg,100 inches,68 inches,4 inches,30.410013,-91.178503,30.409983,-91.178504
4.12.2020-4.33.8.jpg,41 feet,32 feet (Projected),n/a,30.409923,-91.18398,30.410056,-91.181243
4.12.2020-4.33.10.jpg,16 feet,74 inches,35 inches,30.409187,-91.180563,30.408994,-91.18055
4.12.2020-4.33.11.jpg,16 ft,168 inches (tank) 204 inches (whole thing),84 inches,30.408131,-91.178022,30.408119,-91.177924
4.12.2020-4.33.12.jpg,,,,,,,
4.12.2020-4.33.13.jpg,,45 inches,120 inches,,,,
