Time,Lat,Lon,Alt,Gimbal,Rangefinder,Compass,image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
3.10.2020-12.27.20,-19.3111102,-45.3531298,666.86,-10.01,22.50014989,167,3.10.2020-12.27.20.jpg,--,446,0,1023,680,4,0.538945556,1024,680
3.10.2020-12.27.20,-19.3111102,-45.3531298,666.86,-10.01,22.50014989,167,3.10.2020-12.27.20.jpg,--,446,0,1023,680,2,0.538945556,1024,680
3.10.2020-12.27.32,-19.3111672,-45.3526437,677.09,-8.83,39.33904462,214,3.10.2020-12.27.32.jpg,--,446,0,1023,680,2,0.289894998,1024,680
3.10.2020-12.27.40,-19.3114568,-45.3526305,687.76,-31.65,20.95457841,239,3.10.2020-12.27.40.jpg,--,643,62,759,214,2,0.72295773,1024,680
3.10.2020-12.27.48,-19.3116898,-45.3526271,696.86,-50.25,14.05422818,273,3.10.2020-12.27.48.jpg,--,34,122,584,237,5,0.415339619,620,349
3.10.2020-12.27.55,-19.3118733,-45.3526256,704.28,-38.86,10.7660223,300,3.10.2020-12.27.55.jpg,--,0,110,1080,675,3,0.524510682,1080,675
3.10.2020-12.28.7,-19.3118748,-45.3528423,688.6,-47.16,16.91606693,323,3.10.2020-12.28.7.jpg,--,0,110,1080,675,2,0.254325598,1080,675
3.10.2020-12.28.25,-19.3118768,-45.3531563,667.38,-36.95,15.7956447,31,3.10.2020-12.28.25.jpg,--,0,143,1231,795,5,0.280839056,1300,956
3.10.2020-12.28.35,-19.3118782,-45.3533835,657.65,-18.5,33.28009488,57,3.10.2020-12.28.35.jpg,--,281,222,1030,732,5,0.573741734,1300,956
3.10.2020-12.28.49,-19.3118221,-45.3536677,651.05,-8.98,8.1182384,69,3.10.2020-12.28.49.jpg,--,281,222,1030,732,2,0.314220935,1300,956
3.10.2020-12.29.14,-19.3114292,-45.3541989,648.28,1.03,5.67511633,69,3.10.2020-12.29.14.jpg,--,0,143,1231,795,2,0.465309083,1300,956
